indice_tiempo,tipo_cambio_bna_vendedor,tipo_cambio_a3500,tipo_cambio_mae,volumen_mae,tipo_cambio_implicito_en_adrs,futuro_rofex_usd1m,interes_abierto_1m,futuro_rofex_usd2m,interes_abierto_2m,futuro_rofex_usd3m,interes_abierto_3m,futuro_rofex_usd4m,interes_abierto_4m,futuro_rofex_usd5m,interes_abierto_5m,futuro_rofex_usd6m,interes_abierto_6m
2019-12-19,63.0,59.8172,59.815,284100.0,73.51351351351352,60.61,457632.0,62.9,272432.0,64.89,120177.0,67.3,98496.0,69.7,70517.0,72.0,89256.0
2019-12-20,63.0,59.8185,59.815,252650.0,73.23333333333333,60.49,419775.0,62.66,276501.0,64.9,117826.0,67.1,100770.0,69.6,63815.0,71.7,92647.0
2019-12-21,63.0,59.8185,59.815,,73.23333333333333,60.49,419775.0,62.66,276501.0,64.9,117826.0,67.1,100770.0,69.6,63815.0,71.7,92647.0
2019-12-22,63.0,59.8185,59.815,,73.23333333333333,60.49,419775.0,62.66,276501.0,64.9,117826.0,67.1,100770.0,69.6,63815.0,71.7,92647.0
2019-12-23,63.0,59.8633,59.99,115100.0,71.87882496940024,60.63,423405.0,63.0,273305.0,65.2,117929.0,67.4,102801.0,69.6,70157.0,71.9,92647.0
2019-12-24,63.0,59.8633,59.99,,71.26820388349515,60.63,423405.0,63.0,273305.0,65.2,117929.0,67.4,102801.0,69.6,70157.0,71.9,92647.0
2019-12-25,63.0,59.8633,59.99,,71.26820388349515,60.63,423405.0,63.0,273305.0,65.2,117929.0,67.4,102801.0,69.6,70157.0,71.9,92647.0
2019-12-26,63.0,59.9175,59.89,118000.0,73.60703812316716,60.16,404780.0,62.76,287979.0,65.0,119430.0,67.4,88605.0,69.7,65402.0,72.0,92897.0
2019-12-27,63.0,59.8908,59.83,185210.0,73.66017052375152,60.0,388035.0,62.55,324422.0,64.8,137295.0,67.3,89511.0,69.5,63922.0,71.75,93097.0
2019-12-28,63.0,59.8908,59.83,,73.66017052375152,60.0,388035.0,62.55,324422.0,64.8,137295.0,67.3,89511.0,69.5,63922.0,71.75,93097.0
2019-12-29,63.0,59.8908,59.83,,73.66017052375152,60.0,388035.0,62.55,324422.0,64.8,137295.0,67.3,89511.0,69.5,63922.0,71.75,93097.0
2019-12-30,63.0,59.895,59.89,177050.0,74.64702271332106,59.9,388035.0,62.2,366332.0,64.4,138931.0,66.8,89596.0,69.1,61632.0,71.35,91102.0
2019-12-31,63.0,59.895,59.89,,74.92298213185458,59.9,388035.0,62.2,366332.0,64.4,138931.0,66.8,89596.0,69.1,61632.0,71.35,91102.0
2020-01-01,63.0,59.895,59.89,,74.92298213185458,59.9,388035.0,62.2,366332.0,64.4,138931.0,66.8,89596.0,69.1,61632.0,71.35,91102.0
2020-01-02,63.0,59.8518,59.815,136300.0,74.95429616087752,61.64,371644.0,63.65,138961.0,65.75,89594.0,68.15,61632.0,70.5,91105.0,72.25,8693.0
2020-01-03,63.0,59.8335,59.815,243160.0,76.45569620253164,61.45,365852.0,63.3,142063.0,65.55,101055.0,67.55,62633.0,70.0,91102.0,71.75,8694.0
2020-01-04,63.0,59.8335,59.815,,76.45569620253164,61.45,365852.0,63.3,142063.0,65.55,101055.0,67.55,62633.0,70.0,91102.0,71.75,8694.0
2020-01-05,63.0,59.8335,59.815,,76.45569620253164,61.45,365852.0,63.3,142063.0,65.55,101055.0,67.55,62633.0,70.0,91102.0,71.75,8694.0
2020-01-06,63.0,59.819,59.815,141000.0,78.20914214151534,61.27,353793.0,63.3,164974.0,65.4,92133.0,67.5,62420.0,69.5,92407.0,71.4,8794.0
2020-01-07,63.0,59.8195,59.815,168300.0,78.13484562066793,61.17,367728.0,63.18,177427.0,65.26,97454.0,67.29,72022.0,69.39,95336.0,71.25,8972.0
2020-01-08,63.0,59.8177,59.815,195600.0,78.49127182044889,61.09,366887.0,62.95,175328.0,64.95,100281.0,66.83,72657.0,68.8,100339.0,70.65,10972.0
2020-01-09,63.0,59.8152,59.815,312850.0,78.2882882882883,60.98,325126.0,62.7,189059.0,64.7,118454.0,66.5,64963.0,68.21,100109.0,70.02,8305.0
2020-01-10,63.0,59.8163,59.816,236450.0,81.8265119120342,60.93,323310.0,62.64,183603.0,64.69,112406.0,66.5,67179.0,68.35,94720.0,70.15,8305.0
2020-01-11,63.0,59.8163,59.816,,81.8265119120342,60.93,323310.0,62.64,183603.0,64.69,112406.0,66.5,67179.0,68.35,94720.0,70.15,8305.0
2020-01-12,63.0,59.8163,59.816,,81.8265119120342,60.93,323310.0,62.64,183603.0,64.69,112406.0,66.5,67179.0,68.35,94720.0,70.15,8305.0
2020-01-13,63.0,59.88,59.95,233900.0,81.46606914212549,61.2,302074.0,63.6,189607.0,65.8,113570.0,68.2,75486.0,70.5,98833.0,72.75,10691.0
2020-01-14,63.0,60.0367,60.06,169570.0,81.22171945701358,61.45,292897.0,63.9,206255.0,66.4,128553.0,68.66,82455.0,71.15,114096.0,73.75,21838.0
2020-01-15,63.0,60.0075,59.95,187390.0,82.36682400539448,61.1,285499.0,63.22,214849.0,65.5,142484.0,67.7,78815.0,69.9,100405.0,72.0,23683.0
2020-01-16,63.0,59.995,59.975,171210.0,82.50327653997378,60.95,284412.0,62.97,217260.0,65.12,150714.0,67.21,91613.0,69.27,104084.0,71.3,21565.0
2020-01-17,63.0,60.0113,60.005,272820.0,81.02564102564102,60.9,316338.0,62.74,216503.0,64.89,159610.0,66.9,88366.0,68.95,104080.0,70.9,23389.0
2020-01-18,63.0,60.0113,60.005,,81.02564102564102,60.9,316338.0,62.74,216503.0,64.89,159610.0,66.9,88366.0,68.95,104080.0,70.9,23389.0
2020-01-19,63.0,60.0113,60.005,,81.02564102564102,60.9,316338.0,62.74,216503.0,64.89,159610.0,66.9,88366.0,68.95,104080.0,70.9,23389.0
2020-01-20,63.0,60.0333,60.005,272820.0,82.11538461538461,60.62,317038.0,62.35,218486.0,64.47,159654.0,66.45,98425.0,68.65,104085.0,70.4,23392.0
2020-01-21,63.0,60.0592,60.1,173800.0,82.0291777188329,60.73,319273.0,62.65,230074.0,64.95,159116.0,67.0,102761.0,69.1,101309.0,71.2,23464.0
2020-01-22,63.0,60.1148,60.07,166500.0,83.17757009345794,60.74,319708.0,62.74,229599.0,65.35,152598.0,67.55,98811.0,69.65,105603.0,72.0,23410.0
2020-01-23,63.0,60.0908,60.08,127600.0,83.43642611683849,60.6,324638.0,62.56,235338.0,65.19,154463.0,67.4,102981.0,69.65,109253.0,72.0,22650.0
2020-01-24,63.0,60.1025,60.091,135050.0,83.80986418870621,60.55,328946.0,62.55,259150.0,65.17,148142.0,67.5,110501.0,69.65,114388.0,72.0,22200.0
2020-01-25,63.0,60.1025,60.091,,83.80986418870621,60.55,328946.0,62.55,259150.0,65.17,148142.0,67.5,110501.0,69.65,114388.0,72.0,22200.0
2020-01-26,63.0,60.1025,60.091,,83.80986418870621,60.55,328946.0,62.55,259150.0,65.17,148142.0,67.5,110501.0,69.65,114388.0,72.0,22200.0
2020-01-27,63.0,60.1408,60.17,275600.0,83.41818181818182,60.49,315641.0,62.68,261189.0,65.35,143218.0,67.85,110654.0,70.0,116490.0,71.8,22728.0
2020-01-28,63.0,60.1808,60.18,144300.0,84.3598615916955,60.4,306596.0,62.64,281042.0,65.33,145250.0,67.8,109688.0,69.95,121434.0,72.0,23736.0
2020-01-29,63.0,60.2367,60.23,144050.0,84.941013185288,60.36,283319.0,62.43,308773.0,64.92,151938.0,67.25,119445.0,69.3,115263.0,71.5,26547.0
2020-01-30,63.0,60.2475,60.25,105900.0,83.69272237196766,60.32,246142.0,62.31,304828.0,64.78,168941.0,67.16,125213.0,69.26,138103.0,71.5,32227.0
2020-01-31,63.0,60.3312,60.35,196400.0,85.15679442508711,60.33,246142.0,62.38,347655.0,64.95,168153.0,67.4,134342.0,69.6,139715.0,71.8,28790.0
2020-02-01,63.0,60.3312,60.35,,85.15679442508711,60.33,246142.0,62.38,347655.0,64.95,168153.0,67.4,134342.0,69.6,139715.0,71.8,28790.0
2020-02-02,63.0,60.3312,60.35,,85.15679442508711,60.33,246142.0,62.38,347655.0,64.95,168153.0,67.4,134342.0,69.6,139715.0,71.8,28790.0
